1.19	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.87	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.31	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.05	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.51	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.97	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.51	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.32	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
3.62	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.29	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.61	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
0.83	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.44	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.92	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.77	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
4.73	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
1.62	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
4.41	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
0.83	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.91	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.49	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.59	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
187.89	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0.58	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
6.74	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
5.5	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	
2.59	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.89	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
3.39	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
4.36	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
25.31	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
2.27	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
19.96	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
3.06	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
3.19	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
3.67	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
5.22	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0.9	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Muridae		
171.09	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
6.33	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
75.65	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
413.0	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
10.41	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
1.3	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
98.52	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
2.57	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.64	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.31	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
3.05	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
0.54	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.59	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
1.18	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
1.74	Bacteria		Firmicutes					
0.72	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
2.33	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
1.68	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
9.61	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
4.35	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
4.53	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
6.43	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
5.14	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
9.63	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
8.6	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
4.33	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
8.84	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
1.73	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
8.38	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
4.86	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
0.66	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae		
0.85	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
0.67	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales			
261.6	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans AD hybrid
6.48	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans AD hybrid
99.42								synthetic construct
1.32								
0.79								
0.98								
3.86								
0.87								
0.78								
0.41	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	
352.35	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
1.39	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales			
0.51	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
1.38	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
0.99	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
1.5	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales			
1.82	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
3.68	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
3.88	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
1.58	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
1.07	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
0.71	Bacteria							
2.46	Bacteria		Firmicutes	Bacilli	Bacillales	Listeriaceae		
2.39	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.08	Bacteria		Firmicutes	Bacilli	Bacillales			
2.18	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
1.27	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.04	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
1.33	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
1.49	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
24.26	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
11.79	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales			
0.95	Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae		
0.96	Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae		
1.25	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
2.31	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
2.33	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
0.68	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
38.68	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
1.91	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
10.64	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	
0.76	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
0.66	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
0.96	Eukaryota	Fungi						
1.11	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
1.0	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0.71	Eukaryota	Metazoa	Chordata	Mammalia	Perissodactyla			
0.64	Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae		
1.02	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
0.49	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
6.46	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae
1.07	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
22.86	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
2.53	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
3.46	Viruses		Uroviricota	Caudoviricetes	Caudovirales			
0.96	Bacteria							
1.51	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae		
408.91	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
2.17	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.26	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.01	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.97	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.61	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.74	Bacteria							
45.1	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
4.0	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
1.13	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0.96	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
1.87	Bacteria							
0.96	Bacteria							
0.69	Bacteria		Firmicutes	Bacilli	Bacillales	Listeriaceae		
38.43	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
19.62	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
1.3	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.33	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.78	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.31	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
1.49	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
7.95	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
0.9	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
0.9	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
6.94	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
3.39	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
7.39	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0.98								
0.83								
1.59								
0.67	Bacteria							
1.67	Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae		
3.87	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
3.36	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
21.57	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
5.17	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
3.25	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
15.2	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
3.42	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
1.64	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
181.07	Bacteria		Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0.95	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
1.77	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae		
0.99	Bacteria							
156.31	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
1.58	Eukaryota	Fungi						
1.19	Eukaryota	Fungi						
1.91	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
0.98	Bacteria		Firmicutes	Bacilli	Bacillales	Listeriaceae		
5.26	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
4.69	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	
2.19	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
3.41	Bacteria		Firmicutes	Bacilli	Bacillales	Listeriaceae		
1.6	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
44.94	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
0.74	Bacteria							
1.58	Bacteria		Firmicutes	Bacilli	Bacillales	Listeriaceae		
0.8	Bacteria							
1.08	Bacteria							
0.97	Bacteria							
180.4	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
18.45	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
17.22	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
0.85	Bacteria							
1.98	Bacteria							
1.16	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
0.81	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
0.77	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae		
0.79	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
1.61	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
0.94	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
1.35	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
2.66	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
2.74	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
0.6	Bacteria							
2.93	Bacteria							
0.72	Bacteria							
1.46	Bacteria							
1.42	Eukaryota	Fungi						
2.13	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
0.57	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
1.39	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
0.69	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
27.43	Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
3.96	Bacteria		Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
0.98	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0.67	Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae		
0.89	Bacteria							
0.84	Bacteria							
